Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NorthHighland,Chrome 74.0.3729.169,,2019-05-28 13:46:02,2019-05-28 13:47:21,1m - 18.915s,PASSED
,,,,,,
Test Cases/REALratings/NorthHighland/formSubmission,Chrome 74.0.3729.169,,2019-05-28 13:46:02,2019-05-28 13:46:27,24.819s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-05-28 13:46:03,2019-05-28 13:46:08,4.279s,PASSED
"navigateToUrl(""https://nh-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch NorthHighland Application,2019-05-28 13:46:08,2019-05-28 13:46:11,3.395s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-05-28 13:46:11,2019-05-28 13:46:12,1.137s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-05-28 13:46:12,2019-05-28 13:46:12,0.004s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-05-28 13:46:12,2019-05-28 13:46:12,0.023s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-05-28 13:46:12,2019-05-28 13:46:12,0.274s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-05-28 13:46:12,2019-05-28 13:46:13,0.301s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,Enter University Email,2019-05-28 13:46:13,2019-05-28 13:46:13,0.001s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/University Emailid""), ""nh"" + Email + ""@test.com"")",Chrome 74.0.3729.169,,2019-05-28 13:46:13,2019-05-28 13:46:13,0.343s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-05-28 13:46:13,2019-05-28 13:46:13,0.113s,PASSED
"comment(""Main Qualifications"")",Chrome 74.0.3729.169,,2019-05-28 13:46:13,2019-05-28 13:46:13,0.003s,PASSED
"ALevelYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""))",Chrome 74.0.3729.169,A-Level year,2019-05-28 13:46:13,2019-05-28 13:46:13,0.213s,PASSED
ALevelYearcount = 1 + rad.nextInt(ALevelYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-05-28 13:46:13,2019-05-28 13:46:13,0.002s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""), ALevelYearcount)",Chrome 74.0.3729.169,,2019-05-28 13:46:13,2019-05-28 13:46:14,0.463s,PASSED
"GCSEYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""))",Chrome 74.0.3729.169,GCSE Year,2019-05-28 13:46:14,2019-05-28 13:46:14,0.082s,PASSED
GCSEYearCount = 1 + rad.nextInt(GCSEYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-05-28 13:46:14,2019-05-28 13:46:14,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""), GCSEYearCount)",Chrome 74.0.3729.169,,2019-05-28 13:46:14,2019-05-28 13:46:14,0.461s,PASSED
"MainQualificationTotaloptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""))",Chrome 74.0.3729.169,Select Main Qualification,2019-05-28 13:46:14,2019-05-28 13:46:14,0.064s,PASSED
MainQualificationCount = 1 + rad.nextInt(MainQualificationTotaloptions - 1),Chrome 74.0.3729.169,,2019-05-28 13:46:14,2019-05-28 13:46:14,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""), MainQualificationCount)",Chrome 74.0.3729.169,,2019-05-28 13:46:14,2019-05-28 13:46:15,0.111s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-05-28 13:46:15,2019-05-28 13:46:20,5.008s,PASSED
if (MainQualificationCount == 1),Chrome 74.0.3729.169,A-Level,2019-05-28 13:46:20,2019-05-28 13:46:20,0.000s,PASSED
else if (MainQualificationCount == 2),Chrome 74.0.3729.169,,2019-05-28 13:46:20,2019-05-28 13:46:20,0.687s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level School""), findTestData(""getEmployable/Applicants"").getValue(6, 1))",Chrome 74.0.3729.169,Alevel School,2019-05-28 13:46:20,2019-05-28 13:46:21,0.329s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE School""), findTestData(""getEmployable/Applicants"").getValue(7, 1))",Chrome 74.0.3729.169,GCSE School,2019-05-28 13:46:21,2019-05-28 13:46:21,0.398s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Gender""))",Chrome 74.0.3729.169,Gender,2019-05-28 13:46:21,2019-05-28 13:46:21,0.081s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/ALevelPostcode""), findTestData(""getEmployable/Applicants"").getValue(8, 1))",Chrome 74.0.3729.169,ALevel PostalCode,2019-05-28 13:46:21,2019-05-28 13:46:21,0.163s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSEPostcode""), findTestData(""getEmployable/Applicants"").getValue(9, 1))",Chrome 74.0.3729.169,GCSE PostalCode,2019-05-28 13:46:21,2019-05-28 13:46:21,0.156s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/TickAnyStatement""))",Chrome 74.0.3729.169,Tick Any Statement,2019-05-28 13:46:21,2019-05-28 13:46:21,0.066s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/ConfirmAggreement""))",Chrome 74.0.3729.169,User Agreement,2019-05-28 13:46:21,2019-05-28 13:46:22,0.079s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Submit""))",Chrome 74.0.3729.169,Click on Submit Button,2019-05-28 13:46:22,2019-05-28 13:46:22,0.062s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-05-28 13:46:22,2019-05-28 13:46:27,5.003s,PASSED
