Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
brokenLinksImages,Chrome 73.0.3683.86,,2019-04-03 09:21:59,2019-04-03 09:22:46,47.305s,PASSED
,,,,,,
Test Cases/REALratings/REALrating/URL,Chrome 73.0.3683.86,,2019-04-03 09:22:00,2019-04-03 09:22:12,12.106s,PASSED
openBrowser,Chrome 73.0.3683.86,Open Browser,2019-04-03 09:22:00,2019-04-03 09:22:07,6.700s,PASSED
navigateToUrl,Chrome 73.0.3683.86,Launch REALratings Application,2019-04-03 09:22:07,2019-04-03 09:22:10,3.918s,PASSED
maximizeWindow,Chrome 73.0.3683.86,Maximize the window,2019-04-03 09:22:10,2019-04-03 09:22:12,1.131s,PASSED
,,,,,,
Test Cases/REALratings/REALrating/allLinksAllAccessible,Chrome 73.0.3683.86,,2019-04-03 09:22:12,2019-04-03 09:22:46,34.167s,PASSED
verifyAllLinksOnCurrentPageAccessible,Chrome 73.0.3683.86,,2019-04-03 09:22:12,2019-04-03 09:22:46,34.003s,PASSED
