Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
brokenLinksImages,Chrome 73.0.3683.86,,2019-04-02 18:25:45,2019-04-02 18:26:50,1m - 4.851s,FAILED
,,,,,,
Test Cases/REALratings/REALrating/URL,Chrome 73.0.3683.86,,2019-04-02 18:25:45,2019-04-02 18:25:56,11.448s,PASSED
openBrowser,Chrome 73.0.3683.86,Open Browser,2019-04-02 18:25:45,2019-04-02 18:25:50,5.121s,PASSED
navigateToUrl,Chrome 73.0.3683.86,Launch REALratings Application,2019-04-02 18:25:51,2019-04-02 18:25:55,4.874s,PASSED
maximizeWindow,Chrome 73.0.3683.86,Maximize the window,2019-04-02 18:25:55,2019-04-02 18:25:56,1.123s,PASSED
,,,,,,
Test Cases/REALratings/REALrating/allLinksAllAccessible,Chrome 73.0.3683.86,,2019-04-02 18:25:57,2019-04-02 18:26:49,52.510s,FAILED
verifyAllLinksOnCurrentPageAccessible,Chrome 73.0.3683.86,,2019-04-02 18:25:57,2019-04-02 18:26:49,52.344s,FAILED
