Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CIL,Chrome 75.0.3770.100,,2019-07-16 10:30:03,2019-07-16 10:31:19,1m - 16.179s,PASSED
,,,,,,
Test Cases/REALratings/CIL/Form Submission,Chrome 75.0.3770.100,,2019-07-16 10:30:03,2019-07-16 10:30:27,23.570s,PASSED
"comment(""CIL REAlrating - Form Submission"")",Chrome 75.0.3770.100,,2019-07-16 10:30:04,2019-07-16 10:30:04,0.051s,PASSED
"openBrowser("""")",Chrome 75.0.3770.100,Open Browser,2019-07-16 10:30:04,2019-07-16 10:30:07,3.252s,PASSED
"navigateToUrl(""https://uat-cil.realrating.co.uk/"")",Chrome 75.0.3770.100,Launch CIL Application,2019-07-16 10:30:07,2019-07-16 10:30:11,3.868s,PASSED
maximizeWindow(),Chrome 75.0.3770.100,,2019-07-16 10:30:11,2019-07-16 10:30:12,1.151s,PASSED
rad = new java.util.Random(),Chrome 75.0.3770.100,,2019-07-16 10:30:12,2019-07-16 10:30:12,0.005s,PASSED
"comment(""Basic Information"")",Chrome 75.0.3770.100,,2019-07-16 10:30:12,2019-07-16 10:30:12,0.003s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 75.0.3770.100,Enter First Name,2019-07-16 10:30:12,2019-07-16 10:30:13,0.325s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 75.0.3770.100,Enter Last Name,2019-07-16 10:30:13,2019-07-16 10:30:13,0.243s,PASSED
Email = rad.nextInt(2000),Chrome 75.0.3770.100,Enter University Email,2019-07-16 10:30:13,2019-07-16 10:30:13,0.002s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/University Emailid""), ""nh"" + Email + ""@test.com"")",Chrome 75.0.3770.100,,2019-07-16 10:30:13,2019-07-16 10:30:13,0.264s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 75.0.3770.100,Click NEXT,2019-07-16 10:30:13,2019-07-16 10:30:13,0.099s,PASSED
"comment(""Main Qualifications"")",Chrome 75.0.3770.100,,2019-07-16 10:30:13,2019-07-16 10:30:13,0.003s,PASSED
