Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Schroders,Chrome 74.0.3729.169,,2019-05-28 13:12:05,2019-05-28 13:13:24,1m - 19.114s,PASSED
,,,,,,
Test Cases/REALratings/Schroders/Form Submission,Chrome 74.0.3729.169,,2019-05-28 13:12:05,2019-05-28 13:12:33,28.160s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-05-28 13:12:06,2019-05-28 13:12:10,3.976s,PASSED
"navigateToUrl(""https://schroders-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch Greensill Application,2019-05-28 13:12:10,2019-05-28 13:12:13,3.407s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-05-28 13:12:13,2019-05-28 13:12:15,1.131s,PASSED
delay(1),Chrome 74.0.3729.169,,2019-05-28 13:12:15,2019-05-28 13:12:16,1.025s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-05-28 13:12:16,2019-05-28 13:12:16,0.004s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-05-28 13:12:16,2019-05-28 13:12:16,0.006s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-05-28 13:12:16,2019-05-28 13:12:16,0.306s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-05-28 13:12:16,2019-05-28 13:12:16,0.295s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,Enter University Email,2019-05-28 13:12:16,2019-05-28 13:12:16,0.002s,PASSED
"setText(findTestObject(""REALRatings/Greensill/Page_REALrating/University Emailid""), ""greensill"" + Email + ""@test.com"")",Chrome 74.0.3729.169,,2019-05-28 13:12:16,2019-05-28 13:12:17,0.458s,PASSED
"click(findTestObject(""REALRatings/Greensill/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-05-28 13:12:17,2019-05-28 13:12:17,0.096s,PASSED
delay(2),Chrome 74.0.3729.169,,2019-05-28 13:12:17,2019-05-28 13:12:19,2.004s,PASSED
"comment(""University Information"")",Chrome 74.0.3729.169,,2019-05-28 13:12:19,2019-05-28 13:12:19,0.004s,PASSED
"UniversityTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University""))",Chrome 74.0.3729.169,University,2019-05-28 13:12:19,2019-05-28 13:12:19,0.114s,PASSED
UniversityCount = 1 + rad.nextInt(UniversityTotalOption - 1),Chrome 74.0.3729.169,,2019-05-28 13:12:19,2019-05-28 13:12:19,0.004s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/University""), UniversityCount)",Chrome 74.0.3729.169,,2019-05-28 13:12:19,2019-05-28 13:12:20,0.914s,PASSED
if (UniversityCount == 98),Chrome 74.0.3729.169,Other University,2019-05-28 13:12:20,2019-05-28 13:12:20,0.001s,PASSED
"UniversityCourseTotalOption = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/University Course""))",Chrome 74.0.3729.169,University Course,2019-05-28 13:12:20,2019-05-28 13:12:20,0.063s,PASSED
UniveristyCourseCount = 1 + rad.nextInt(UniversityCourseTotalOption - 1),Chrome 74.0.3729.169,,2019-05-28 13:12:20,2019-05-28 13:12:20,0.000s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/University Course""), UniveristyCourseCount)",Chrome 74.0.3729.169,,2019-05-28 13:12:20,2019-05-28 13:12:20,0.642s,PASSED
if (UniveristyCourseCount == 95),Chrome 74.0.3729.169,University Other Course ,2019-05-28 13:12:20,2019-05-28 13:12:20,0.001s,PASSED
"LengthOfUniversitycourseTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/Greensill/Page_REALrating/Length Of University Course""))",Chrome 74.0.3729.169,Length of university course,2019-05-28 13:12:20,2019-05-28 13:12:21,0.056s,PASSED
LengthOfUniversitycount = 1 + rad.nextInt(LengthOfUniversitycourseTotalOptions - 1),Chrome 74.0.3729.169,,2019-05-28 13:12:21,2019-05-28 13:12:21,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/Length Of University Course""), LengthOfUniversitycount)",Chrome 74.0.3729.169,,2019-05-28 13:12:21,2019-05-28 13:12:21,0.172s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/Greensill/Page_REALrating/Current Year Of Study""), LengthOfUniversitycount)",Chrome 74.0.3729.169,Current Year of Study (as of Sept 2018),2019-05-28 13:12:21,2019-05-28 13:12:21,0.195s,PASSED
