Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
brokenLinksImages,Chrome 73.0.3683.86,,2019-04-02 17:44:09,2019-04-02 18:24:27,40m - 18.723s,FAILED
,,,,,,
Test Cases/REALratings/REALrating/URL,Chrome 73.0.3683.86,,2019-04-02 17:44:09,2019-04-02 18:09:26,25m - 16.979s,FAILED
openBrowser,Chrome 73.0.3683.86,Open Browser,2019-04-02 17:44:09,2019-04-02 17:44:19,9.610s,PASSED
navigateToUrl,Chrome 73.0.3683.86,Launch REALratings Application,2019-04-02 17:44:19,2019-04-02 17:44:25,5.740s,PASSED
maximizeWindow,Chrome 73.0.3683.86,Maximize the window,2019-04-02 17:44:25,2019-04-02 18:09:26,25m - 1.177s,FAILED
,,,,,,
Test Cases/REALratings/REALrating/allLinksAllAccessible,Chrome 73.0.3683.86,,2019-04-02 18:09:26,2019-04-02 18:24:26,15m - 0.178s,ERROR
verifyAllLinksOnCurrentPageAccessible,Chrome 73.0.3683.86,,2019-04-02 18:09:26,2019-04-02 18:24:26,14m - 59.994s,PASSED
