Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NorthHighland,Chrome 74.0.3729.169,,2019-06-04 12:54:48,2019-06-04 12:55:58,1m - 9.982s,PASSED
,,,,,,
Test Cases/REALratings/NorthHighland/formSubmission,Chrome 74.0.3729.169,,2019-06-04 12:54:48,2019-06-04 12:55:12,23.355s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-06-04 12:54:49,2019-06-04 12:54:53,3.287s,PASSED
"navigateToUrl(""https://nh-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch NorthHighland Application,2019-06-04 12:54:53,2019-06-04 12:54:56,3.084s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-04 12:54:56,2019-06-04 12:54:57,1.155s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-06-04 12:54:57,2019-06-04 12:54:57,0.003s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-06-04 12:54:57,2019-06-04 12:54:57,0.025s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-06-04 12:54:57,2019-06-04 12:54:57,0.268s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-06-04 12:54:57,2019-06-04 12:54:58,0.233s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,Enter University Email,2019-06-04 12:54:58,2019-06-04 12:54:58,0.001s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/University Emailid""), ""nh"" + Email + ""@test.com"")",Chrome 74.0.3729.169,,2019-06-04 12:54:58,2019-06-04 12:54:58,0.310s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-06-04 12:54:58,2019-06-04 12:54:58,0.104s,PASSED
"comment(""Main Qualifications"")",Chrome 74.0.3729.169,,2019-06-04 12:54:58,2019-06-04 12:54:58,0.002s,PASSED
"ALevelYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""))",Chrome 74.0.3729.169,A-Level year,2019-06-04 12:54:58,2019-06-04 12:54:58,0.098s,PASSED
ALevelYearcount = 1 + rad.nextInt(ALevelYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:54:58,2019-06-04 12:54:58,0.003s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""), ALevelYearcount)",Chrome 74.0.3729.169,,2019-06-04 12:54:58,2019-06-04 12:54:59,0.521s,PASSED
"GCSEYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""))",Chrome 74.0.3729.169,GCSE Year,2019-06-04 12:54:59,2019-06-04 12:54:59,0.069s,PASSED
GCSEYearCount = 1 + rad.nextInt(GCSEYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:54:59,2019-06-04 12:54:59,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE Year""), GCSEYearCount)",Chrome 74.0.3729.169,,2019-06-04 12:54:59,2019-06-04 12:54:59,0.571s,PASSED
"MainQualificationTotaloptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""))",Chrome 74.0.3729.169,Select Main Qualification,2019-06-04 12:54:59,2019-06-04 12:54:59,0.062s,PASSED
MainQualificationCount = 1 + rad.nextInt(MainQualificationTotaloptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:54:59,2019-06-04 12:54:59,0.001s,PASSED
"selectOptionByIndex(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Main Qualification""), MainQualificationCount)",Chrome 74.0.3729.169,,2019-06-04 12:54:59,2019-06-04 12:54:59,0.129s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-04 12:54:59,2019-06-04 12:55:04,5.008s,PASSED
if (MainQualificationCount == 1),Chrome 74.0.3729.169,A-Level,2019-06-04 12:55:04,2019-06-04 12:55:04,0.001s,PASSED
else if (MainQualificationCount == 2),Chrome 74.0.3729.169,,2019-06-04 12:55:04,2019-06-04 12:55:05,0.588s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level School""), findTestData(""getEmployable/Applicants"").getValue(6, 1))",Chrome 74.0.3729.169,Alevel School,2019-06-04 12:55:05,2019-06-04 12:55:06,0.528s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSE School""), findTestData(""getEmployable/Applicants"").getValue(7, 1))",Chrome 74.0.3729.169,GCSE School,2019-06-04 12:55:06,2019-06-04 12:55:06,0.273s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Gender""))",Chrome 74.0.3729.169,Gender,2019-06-04 12:55:06,2019-06-04 12:55:06,0.084s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/ALevelPostcode""), findTestData(""getEmployable/Applicants"").getValue(8, 1))",Chrome 74.0.3729.169,ALevel PostalCode,2019-06-04 12:55:06,2019-06-04 12:55:06,0.146s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/GCSEPostcode""), findTestData(""getEmployable/Applicants"").getValue(9, 1))",Chrome 74.0.3729.169,GCSE PostalCode,2019-06-04 12:55:06,2019-06-04 12:55:06,0.171s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/TickAnyStatement""))",Chrome 74.0.3729.169,Tick Any Statement,2019-06-04 12:55:06,2019-06-04 12:55:06,0.098s,PASSED
