Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NorthHighland,Chrome 74.0.3729.169,,2019-06-04 12:27:01,2019-06-04 12:28:29,1m - 28.218s,FAILED
,,,,,,
Test Cases/REALratings/NorthHighland/formSubmission,Chrome 74.0.3729.169,,2019-06-04 12:27:01,2019-06-04 12:27:25,24.111s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Open Browser,2019-06-04 12:27:03,2019-06-04 12:27:06,3.760s,PASSED
"navigateToUrl(""https://nh-uat.realrating.co.uk/"")",Chrome 74.0.3729.169,Launch NorthHighland Application,2019-06-04 12:27:06,2019-06-04 12:27:09,3.099s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,2019-06-04 12:27:09,2019-06-04 12:27:11,1.170s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-06-04 12:27:11,2019-06-04 12:27:11,0.005s,PASSED
"comment(""Basic Information"")",Chrome 74.0.3729.169,,2019-06-04 12:27:11,2019-06-04 12:27:11,0.023s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,Enter First Name,2019-06-04 12:27:11,2019-06-04 12:27:11,0.217s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/Last Name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-06-04 12:27:11,2019-06-04 12:27:11,0.174s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,Enter University Email,2019-06-04 12:27:11,2019-06-04 12:27:11,0.002s,PASSED
"setText(findTestObject(""REALRatings/NorthHighland/Page_REALrating/University Emailid""), ""nh"" + Email + ""@test.com"")",Chrome 74.0.3729.169,,2019-06-04 12:27:11,2019-06-04 12:27:11,0.298s,PASSED
"click(findTestObject(""REALRatings/NorthHighland/Page_REALrating/First Next""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Click NEXT,2019-06-04 12:27:11,2019-06-04 12:27:11,0.094s,PASSED
"comment(""Main Qualifications"")",Chrome 74.0.3729.169,,2019-06-04 12:27:11,2019-06-04 12:27:11,0.003s,PASSED
"ALevelYearTotalOptions = getNumberOfTotalOption(findTestObject(""REALRatings/NorthHighland/Page_REALrating/A Level Year""))",Chrome 74.0.3729.169,A-Level year,2019-06-04 12:27:11,2019-06-04 12:27:12,0.108s,PASSED
ALevelYearcount = 1 + rad.nextInt(ALevelYearTotalOptions - 1),Chrome 74.0.3729.169,,2019-06-04 12:27:12,2019-06-04 12:27:12,0.003s,PASSED
